16.07758116722107,21,-29,-49,[-49],[-29]
22.123929023742676,22,-27,-43,[-43],[-27]
30.17156410217285,20,-27,-1,[-1],[-27]
36.21198797225952,21,-25,-43,[-43],[-25]
38.242982149124146,22,-29,-39,[-39],[-29]
44.28886699676514,20,-29,-43,[-43],[-29]
45.319709062576294,21,-29,-1,[-1],[-29]
47.09934902191162,22,-29,-45,[-45],[-29]
52.141255140304565,20,-29,-39,[-39],[-29]
58.1856529712677,21,-23,-43,[-43],[-23]
59.2151939868927,22,-44,-43,[-43],[-44]
60.24649119377136,20,-1,-37,[-37],[-1]
61.279643058776855,21,-1,-22,[-22],[-1]
62.060585021972656,22,0,-35,[-35],[0]
96.1676230430603,20,-29,-43,[-43],[-29]
101.2082850933075,21,-29,-43,[-43],[-29]
117.27505707740784,22,-25,-47,[-47],[-25]
125.07260918617249,20,-45,-42,[-42],[-45]
142.13978004455566,21,-25,-43,[-43],[-25]
147.17698097229004,22,-27,-41,[-41],[-27]
165.24563097953796,20,-27,-1,[-1],[-27]
184.06727004051208,21,-68,-41,[-41],"[-27, -41]"
185.09869003295898,22,-36,-6,[-6],[-36]
188.13641905784607,20,0,0,[0],[0]
202.1978120803833,21,-23,-41,[-41],[-23]
210.24632811546326,22,-47,-33,[-33],[-47]
5.774011135101318,15,-78,-43,[-43],"[-25, -32, -21]"
6.802366018295288,25,-38,-30,[-30],"[-1, -37]"
7.83523416519165,30,-31,0,[0],"[-31, 0]"
36.68593502044678,15,-25,-38,[-38],[-25]
