Timestamp,antennaSTR,clientRSSI,bssidRSSI,bssidArray,clientArray
7.018739939,0,-23,-79,[-79],[-23]
23.82701182,3,-29,-1,[-1],[-29]
24.85370588,4,-29,-23,[-23],[-29]
29.88264489,5,-27,-23,[-23],[-27]
71.98906183,11,-25,-23,[-23],[-25]
81.03161097,13,-41,-1,[-1],[-41]
86.05954289,14,-29,-19,[-19],[-29]
90.84039497,15,-29,-21,[-21],[-29]
96.87204194,16,-29,-21,[-21],[-29]
119.940661,20,-25,-23,[-23],[-25]
129.9887869,22,-25,-1,[-1],[-25]
142.0322239,24,-25,-23,[-23],[-25]
146.818094,25,-25,-23,[-23],[-25]
157.872376,27,-25,-23,[-23],[-25]
170.91942,29,-31,-1,[-1],[-31]
173.961952,30,-31,-27,[-27],[-31]
202.049022,3,-41,-23,[-23],[-41]
207.0802939,4,-35,-23,[-23],[-35]
212.8627379,5,-35,-19,[-19],[-35]
217.8880968,6,-43,-1,[-1],[-43]
220.913038,7,-39,-1,[-1],[-39]
226.945714,8,-37,-1,[-1],[-37]
236.988976,10,-41,-21,[-21],[-41]
257.0535848,13,-35,-19,[-19],[-35]
264.8500669,15,-41,-1,[-1],[-41]
266.8786979,16,-39,-19,[-19],[-39]
275.932261,18,-41,-19,[-19],[-41]
284.994781,20,-35,-19,[-19],[-35]
295.040621,22,-41,-1,[-1],[-41]
296.8212779,23,-39,-23,[-23],[-39]
324.90165,27,-39,-1,[-1],[-39]
326.949096,28,-39,-19,[-19],[-39]
330.976342,29,-39,-19,[-19],[-39]
342.03408,0,-35,-19,[-19],[-35]
346.8155999,1,-39,-19,[-19],[-39]
356.8575718,3,-39,-19,[-19],[-39]
371.915411,6,-39,-23,[-23],[-39]
375.941432,7,-41,-21,[-21],[-41]
385.9796889,9,-43,-23,[-23],[-43]
391.0078559,10,-37,-19,[-19],[-37]
393.029505,11,-41,-1,[-1],[-41]
411.8387618,14,-39,-23,[-23],[-39]
420.883014,16,-43,-19,[-19],[-43]
437.945647,19,-39,-19,[-19],[-39]
438.9839289,20,-39,-23,[-23],[-39]
448.0266528,22,-37,-1,[-1],[-37]
465.8475389,25,-41,-19,[-19],[-41]
482.9312658,28,-41,-23,[-23],[-41]
483.9599428,29,-41,-23,[-23],[-41]
500.02491,1,-39,-19,[-19],[-39]
520.835485,4,-39,-1,[-1],[-39]
528.8724649,6,-37,-21,[-21],[-37]
533.909245,7,-39,-19,[-19],[-39]
544.952414,9,-41,-19,[-19],[-41]
551.990654,10,-39,-33,[-33],[-39]
558.023536,11,-41,-49,[-49],[-41]
569.063606,13,-39,-23,[-23],[-39]
573.8483269,14,-37,-53,[-53],[-37]
600.9444408,18,-39,-23,[-23],[-39]
605.981024,19,-39,-65,[-65],[-39]
619.793957,21,-39,-52,[-52],[-39]
637.8599799,24,-37,-23,[-23],[-37]
654.9204988,27,-41,-23,[-23],[-41]
664.972755,29,-43,-19,[-19],[-43]
677.7876148,0,-39,-25,[-25],[-39]
690.8350279,2,-39,-23,[-23],[-39]
695.867414,3,-39,-23,[-23],[-39]
709.913789,5,-41,-23,[-23],[-41]
723.962992,7,-37,-23,[-23],[-37]
729.0016558,8,-39,-19,[-19],[-39]
735.792464,9,-39,-19,[-19],[-39]
761.881165,13,-39,-1,[-1],[-39]
768.916693,14,-41,-21,[-21],[-41]
779.9696338,16,-41,-19,[-19],[-41]
785.0030658,17,-41,-21,[-21],[-41]
816.893306,22,-41,-1,[-1],[-41]
824.9442849,24,-39,-71,[-71],[-39]
869.8516009,0,-37,-23,[-23],[-37]
915.0009,7,-31,-23,[-23],[-31]
919.7879989,8,-35,-23,[-23],[-35]
946.8841739,12,-35,-23,[-23],[-35]
955.928622,14,-39,-23,[-23],[-39]
960.985497,15,-39,-23,[-23],[-39]
979.8194559,18,-37,-23,[-23],[-37]
985.86376,19,-37,-23,[-23],[-37]
1002.943862,22,-39,-19,[-19],[-39]
1013.999006,24,-39,-19,[-19],[-39]
1023.839,26,-39,-21,[-21],[-39]
1047.952622,30,-37,-1,[-1],[-37]
1049.985292,0,-39,-23,[-23],[-39]
1059.789994,2,-39,-19,[-19],[-39]
1078.857495,5,-37,-1,[-1],[-37]
1083.895682,6,-39,-23,[-23],[-39]
1095.963544,8,-39,-22,[-22],[-39]
1133.84286,14,-27,-19,[-19],[-27]
1139.876934,15,-31,-23,[-23],[-31]
1144.934654,16,-29,-23,[-23],[-29]
1160.012916,19,-35,-23,[-23],[-35]
1175.845769,22,-35,-19,[-19],[-35]
1185.918457,24,-31,-19,[-19],[-31]
2074.006927,27,-55,-46,[-46],[-55]
2075.046902,28,-60,-54,[-54],[-60]
2075.855881,29,-57,-49,[-49],[-57]
2078.935363,30,-58,-46,[-46],[-58]
2081.992208,0,-56,-35,[-35],[-56]
2085.039639,1,-57,-50,[-50],[-57]
2088.871809,2,-57,-40,[-40],[-57]
2089.977085,3,-56,-43,[-43],[-56]
2093.013554,4,-41,-44,[-44],[-41]
2093.833273,5,-92,-43,[-43],"[-42, -50]"
2094.884136,6,-96,-39,[-39],"[-41, -55]"
2095.924193,7,-99,-16,[-16],"[-56, -43]"
2096.972111,8,-98,-48,[-48],"[-43, -55]"
2098.010022,9,-104,-41,[-41],"[-58, -46]"
2098.884664,10,-99,-40,[-40],"[-55, -44]"
2099.92966,11,-100,-47,[-47],"[-56, -44]"
2100.980974,12,-55,-47,[-47],[-55]
2102.021743,13,-98,-47,[-47],"[-44, -54]"
2102.8122,14,-56,-20,[-20],[-56]
2103.856392,15,-39,-21,[-21],[-39]
2104.964315,16,-58,-44,[-44],[-58]
2106.035201,17,-56,-45,[-45],[-56]
2109.834619,18,-59,-61,[-61],[-59]
2181.932667,28,-55,-34,[-34],[-55]
2234.904671,5,-53,-31,[-31],[-53]
2238.954331,6,-49,-46,[-46],[-49]
2490.851819,10,-47,-49,[-49],[-47]
182.910866,16,-51,-48,[-48],[-51]
146.250612,16,-60,-64,[-64],[-60]
148.4624221,22,-9,-1,[-1],[-9]
155.178405,14,-83,-39,[-39],"[-54, -29]"
159.4463911,16,-60,0,[0],[-60]
18.07149816,22,-41,-41,[-41],[-41]
4.769528151,0,-41,-43,[-43],[-41]
0.006980896,0,-41,-43,[-43],[-41]
27.60364795,3,-1,-50,[-50],[-1]
28.64009094,4,-52,-13,[-13],[-52]
59.52634907,9,-71,-47,[-47],[-71]
133.540817,20,-35,-49,[-49],[-35]
153.616632,23,-53,-47,[-47],[-53]
154.6438251,24,-33,-36,[-36],[-33]
216.5940571,2,-59,-48,[-48],[-59]
217.6203251,3,-58,-1,[-1],[-58]
342.5643129,21,-39,-55,[-55],[-39]
532.691524,17,-56,-39,[-39],[-56]
533.465781,18,-63,-20,[-20],[-63]
909.617835,8,-1,-47,[-47],[-1]
954.5970161,15,-71,-55,[-55],[-71]
1002.541164,22,-45,-55,[-55],[-45]
1013.607457,24,-43,-57,[-57],[-43]
1024.414733,26,-49,-59,[-59],[-49]
1098.521092,6,-63,-53,[-53],[-63]
1102.563949,7,-63,-53,[-53],[-63]
1162.459992,16,-43,-43,[-43],[-43]
1224.50579,25,-1,-55,[-55],[-1]
1225.537305,26,-61,-53,[-53],[-61]
1350.518247,13,-59,-52,[-52],[-59]
1413.55716,22,-58,-23,[-23],[-58]
1417.602888,23,-60,-44,[-44],[-60]
1480.423133,1,-58,-49,[-49],[-58]
1539.545312,10,-57,-49,[-49],[-57]
1665.610538,28,-58,-48,[-48],[-58]
1669.662052,29,-60,0,[0],[-60]
1729.701843,7,-1,0,[0],[-1]
27.33434105,1,-53,-48,[-48],[-53]
238.423552,13,-43,-43,[-43],[-43]
242.4549491,14,-1,-45,[-45],[-1]
322.3996511,19,-31,-51,[-51],[-31]
333.4384491,20,-47,-53,[-53],[-47]
480.270647,28,-43,-47,[-47],[-43]
490.3112111,29,-61,-39,[-39],[-61]
491.3351982,30,-59,-41,[-41],[-59]
583.364403,4,-49,-47,[-47],[-49]
603.45329,6,-49,-51,[-51],[-49]
623.294625,8,-47,-47,[-47],[-47]
668.42642,11,-47,-51,[-51],[-47]
677.229959,12,-45,-53,[-53],[-45]
678.258925,13,-45,-49,[-49],[-45]
683.2978492,14,-64,-50,[-50],[-64]
735.192405,17,-49,-47,[-47],[-49]
738.2243581,18,-47,-47,[-47],[-47]
749.275599,19,-49,-48,[-48],[-49]
750.3073702,20,-67,-49,[-49],[-67]
756.34021,21,-49,-47,[-47],[-49]
873.3815432,28,-54,-42,[-42],[-54]
940.3207841,1,-61,-6,[-6],[-61]
983.2135592,4,-47,-47,[-47],[-47]
999.2715681,5,-60,-49,[-49],[-60]
1000.302017,6,-61,-62,[-62],[-61]
1125.416334,13,-47,-43,[-43],[-47]
1126.197252,14,-1,-37,[-37],[-1]
1129.478158,15,-96,-25,[-25],"[-53, -43]"
1197.444236,19,-33,-47,[-47],[-33]
1256.355913,23,-39,-43,[-43],[-39]
1319.275545,27,-40,-45,[-45],"[-1, -39]"
1320.307283,28,0,-1,[-1],[0]
1445.419619,4,-27,-46,[-46],[-27]
1508.379925,8,-34,-43,[-43],[-34]
1760.308673,22,-27,-48,[-48],[-27]
1761.333395,23,-25,-49,[-49],[-25]
1762.362728,24,-55,-47,[-47],[-55]
1764.40155,25,-26,-65,[-65],[-26]
1765.426889,26,-45,-46,[-46],[-45]
1807.306918,29,-49,-43,[-43],[-49]
1828.396217,0,-28,-47,[-47],[-28]
