Group,Timestamp,antennaSTR,clientRSSI
1,18.55303812,4,-36
1,19.58027101,10,-37
1,20.60758996,15,-35
2,21.63808608,4,-29
2,22.66604114,10,-28
2,23.69663501,15,-28
3,4.769965172,4,-41
3,5.796869993,10,-44
3,63.71100307,15,-29
4,64.74237418,4,-25
4,65.77693105,10,-29
4,66.80595899,15,-29
5,7.278053045,4,-25
5,16.07758117,10,-29
5,22.12392902,15,-27
,30.1715641,4,-27
,36.21198797,10,-25
,38.24298215,15,-29
,44.288867,4,-29
,45.31970906,10,-29
,47.09934902,15,-29
,52.14125514,4,-29
,58.18565297,10,-23
,59.21519399,15,-44
,60.24649119,4,-1
,61.27964306,10,-1
,62.06058502,15,0
,96.16762304,4,-29
,101.2082851,10,-29
,117.2750571,15,-25
,125.0726092,4,-45
,142.13978,10,-25
,147.176981,15,-27
,165.245631,4,-27
,184.06727,10,-68
,185.09869,15,-36
,188.1364191,4,0
,202.1978121,10,-23
,210.2463281,15,-47
,5.774011135,4,-78
,6.802366018,10,-38
,7.835234165,15,-31
,36.68593502,15,-25
